segment_id	seek	segment_start	segment_end	segment_text	tokens	temperature	avg_logprob	compression_ratio	no_speech_prob	segment_confidence	word_text	word_start	word_end	word_confidence
1	2048	22.78	28.96	 Då kan vi själva klicka.	[50364, 26339, 4608, 1932, 30700, 2757, 9671, 618, 64, 13, 50764]	0.0	-0.6061922255016509	0.9090909090909091	0.08155301958322525	0.681	klicka.	28.42	28.96	0.764
2	2048	29.54	31.12	 Vi ska först visa fem.	[50764, 6626, 9958, 32864, 18589, 4010, 13, 50964]	0.0	-0.6061922255016509	0.9090909090909091	0.08155301958322525	0.676	Vi	29.54	29.74	0.551
2	2048	29.54	31.12	 Vi ska först visa fem.	[50764, 6626, 9958, 32864, 18589, 4010, 13, 50964]	0.0	-0.6061922255016509	0.9090909090909091	0.08155301958322525	0.676	ska	29.74	29.96	0.712
2	2048	29.54	31.12	 Vi ska först visa fem.	[50764, 6626, 9958, 32864, 18589, 4010, 13, 50964]	0.0	-0.6061922255016509	0.9090909090909091	0.08155301958322525	0.676	först	29.96	30.26	0.731
2	2048	29.54	31.12	 Vi ska först visa fem.	[50764, 6626, 9958, 32864, 18589, 4010, 13, 50964]	0.0	-0.6061922255016509	0.9090909090909091	0.08155301958322525	0.676	visa	30.26	30.58	0.607
2	2048	29.54	31.12	 Vi ska först visa fem.	[50764, 6626, 9958, 32864, 18589, 4010, 13, 50964]	0.0	-0.6061922255016509	0.9090909090909091	0.08155301958322525	0.676	fem.	30.58	31.12	0.812
3	3248	32.48	47.4	 Sista.	[50364, 318, 5236, 13, 51664]	0.0	-0.606250694819859	0.42857142857142855	0.42727363109588623	0.36	Sista.	32.48	47.4	0.36
4	5848	58.62	62.6	 Nu har ni tio minuter på er.	[50364, 13612, 2233, 3867, 44735, 13951, 260, 4170, 1189, 13, 50614]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.714	Nu	58.62	59.1	0.364
4	5848	58.62	62.6	 Nu har ni tio minuter på er.	[50364, 13612, 2233, 3867, 44735, 13951, 260, 4170, 1189, 13, 50614]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.714	har	59.1	59.4	0.847
4	5848	58.62	62.6	 Nu har ni tio minuter på er.	[50364, 13612, 2233, 3867, 44735, 13951, 260, 4170, 1189, 13, 50614]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.714	ni	59.4	59.7	0.911
4	5848	58.62	62.6	 Nu har ni tio minuter på er.	[50364, 13612, 2233, 3867, 44735, 13951, 260, 4170, 1189, 13, 50614]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.714	tio	59.7	60.42	0.733
4	5848	58.62	62.6	 Nu har ni tio minuter på er.	[50364, 13612, 2233, 3867, 44735, 13951, 260, 4170, 1189, 13, 50614]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.714	minuter	60.42	61.64	0.789
4	5848	58.62	62.6	 Nu har ni tio minuter på er.	[50364, 13612, 2233, 3867, 44735, 13951, 260, 4170, 1189, 13, 50614]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.714	på	61.64	62.2	0.608
4	5848	58.62	62.6	 Nu har ni tio minuter på er.	[50364, 13612, 2233, 3867, 44735, 13951, 260, 4170, 1189, 13, 50614]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.714	er.	62.2	62.6	0.862
5	5848	64.0	66.96	 Ni kan säga till oss vilken ni vill titta på.	[50614, 12370, 4608, 28013, 4288, 19508, 15349, 2653, 3867, 4284, 256, 21870, 4170, 13, 50914]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.797	Ni	64.0	64.3	0.764
5	5848	64.0	66.96	 Ni kan säga till oss vilken ni vill titta på.	[50614, 12370, 4608, 28013, 4288, 19508, 15349, 2653, 3867, 4284, 256, 21870, 4170, 13, 50914]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.797	kan	64.3	64.52	0.907
5	5848	64.0	66.96	 Ni kan säga till oss vilken ni vill titta på.	[50614, 12370, 4608, 28013, 4288, 19508, 15349, 2653, 3867, 4284, 256, 21870, 4170, 13, 50914]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.797	säga	64.52	64.82	0.857
5	5848	64.0	66.96	 Ni kan säga till oss vilken ni vill titta på.	[50614, 12370, 4608, 28013, 4288, 19508, 15349, 2653, 3867, 4284, 256, 21870, 4170, 13, 50914]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.797	till	64.82	65.06	0.675
5	5848	64.0	66.96	 Ni kan säga till oss vilken ni vill titta på.	[50614, 12370, 4608, 28013, 4288, 19508, 15349, 2653, 3867, 4284, 256, 21870, 4170, 13, 50914]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.797	oss	65.06	65.36	0.831
5	5848	64.0	66.96	 Ni kan säga till oss vilken ni vill titta på.	[50614, 12370, 4608, 28013, 4288, 19508, 15349, 2653, 3867, 4284, 256, 21870, 4170, 13, 50914]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.797	vilken	65.36	65.7	0.773
5	5848	64.0	66.96	 Ni kan säga till oss vilken ni vill titta på.	[50614, 12370, 4608, 28013, 4288, 19508, 15349, 2653, 3867, 4284, 256, 21870, 4170, 13, 50914]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.797	ni	65.7	65.84	0.891
5	5848	64.0	66.96	 Ni kan säga till oss vilken ni vill titta på.	[50614, 12370, 4608, 28013, 4288, 19508, 15349, 2653, 3867, 4284, 256, 21870, 4170, 13, 50914]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.797	vill	65.84	66.04	0.833
5	5848	64.0	66.96	 Ni kan säga till oss vilken ni vill titta på.	[50614, 12370, 4608, 28013, 4288, 19508, 15349, 2653, 3867, 4284, 256, 21870, 4170, 13, 50914]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.797	titta	66.04	66.84	0.691
5	5848	64.0	66.96	 Ni kan säga till oss vilken ni vill titta på.	[50614, 12370, 4608, 28013, 4288, 19508, 15349, 2653, 3867, 4284, 256, 21870, 4170, 13, 50914]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.797	på.	66.84	66.96	0.931
6	5848	69.52	72.1	 Vad säger du Melissa? Vad tyckte du?	[50914, 24788, 37607, 1581, 22844, 30, 24788, 1104, 547, 975, 1581, 30, 51164]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.843	Vad	69.52	70.34	0.831
6	5848	69.52	72.1	 Vad säger du Melissa? Vad tyckte du?	[50914, 24788, 37607, 1581, 22844, 30, 24788, 1104, 547, 975, 1581, 30, 51164]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.843	säger	70.34	70.52	0.749
6	5848	69.52	72.1	 Vad säger du Melissa? Vad tyckte du?	[50914, 24788, 37607, 1581, 22844, 30, 24788, 1104, 547, 975, 1581, 30, 51164]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.843	du	70.52	70.68	0.907
6	5848	69.52	72.1	 Vad säger du Melissa? Vad tyckte du?	[50914, 24788, 37607, 1581, 22844, 30, 24788, 1104, 547, 975, 1581, 30, 51164]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.843	Melissa?	70.68	71.0	0.782
6	5848	69.52	72.1	 Vad säger du Melissa? Vad tyckte du?	[50914, 24788, 37607, 1581, 22844, 30, 24788, 1104, 547, 975, 1581, 30, 51164]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.843	Vad	71.3	71.46	0.608
6	5848	69.52	72.1	 Vad säger du Melissa? Vad tyckte du?	[50914, 24788, 37607, 1581, 22844, 30, 24788, 1104, 547, 975, 1581, 30, 51164]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.843	tyckte	71.46	71.96	0.953
6	5848	69.52	72.1	 Vad säger du Melissa? Vad tyckte du?	[50914, 24788, 37607, 1581, 22844, 30, 24788, 1104, 547, 975, 1581, 30, 51164]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.843	du?	71.96	72.1	0.928
7	5848	75.12	79.3	 Jag tror att jag gick mycket på de som hade en master.	[51164, 9014, 22109, 951, 6368, 290, 618, 16780, 4170, 368, 3307, 25027, 465, 4505, 13, 51614]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.8	Jag	75.12	75.48	0.881
7	5848	75.12	79.3	 Jag tror att jag gick mycket på de som hade en master.	[51164, 9014, 22109, 951, 6368, 290, 618, 16780, 4170, 368, 3307, 25027, 465, 4505, 13, 51614]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.8	tror	75.48	75.66	0.758
7	5848	75.12	79.3	 Jag tror att jag gick mycket på de som hade en master.	[51164, 9014, 22109, 951, 6368, 290, 618, 16780, 4170, 368, 3307, 25027, 465, 4505, 13, 51614]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.8	att	75.66	75.8	0.704
7	5848	75.12	79.3	 Jag tror att jag gick mycket på de som hade en master.	[51164, 9014, 22109, 951, 6368, 290, 618, 16780, 4170, 368, 3307, 25027, 465, 4505, 13, 51614]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.8	jag	75.8	75.92	0.879
7	5848	75.12	79.3	 Jag tror att jag gick mycket på de som hade en master.	[51164, 9014, 22109, 951, 6368, 290, 618, 16780, 4170, 368, 3307, 25027, 465, 4505, 13, 51614]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.8	gick	75.92	76.1	0.906
7	5848	75.12	79.3	 Jag tror att jag gick mycket på de som hade en master.	[51164, 9014, 22109, 951, 6368, 290, 618, 16780, 4170, 368, 3307, 25027, 465, 4505, 13, 51614]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.8	mycket	76.1	76.42	0.749
7	5848	75.12	79.3	 Jag tror att jag gick mycket på de som hade en master.	[51164, 9014, 22109, 951, 6368, 290, 618, 16780, 4170, 368, 3307, 25027, 465, 4505, 13, 51614]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.8	på	76.42	76.88	0.935
7	5848	75.12	79.3	 Jag tror att jag gick mycket på de som hade en master.	[51164, 9014, 22109, 951, 6368, 290, 618, 16780, 4170, 368, 3307, 25027, 465, 4505, 13, 51614]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.8	de	76.88	77.48	0.562
7	5848	75.12	79.3	 Jag tror att jag gick mycket på de som hade en master.	[51164, 9014, 22109, 951, 6368, 290, 618, 16780, 4170, 368, 3307, 25027, 465, 4505, 13, 51614]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.8	som	77.48	77.64	0.891
7	5848	75.12	79.3	 Jag tror att jag gick mycket på de som hade en master.	[51164, 9014, 22109, 951, 6368, 290, 618, 16780, 4170, 368, 3307, 25027, 465, 4505, 13, 51614]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.8	hade	77.64	77.92	0.698
7	5848	75.12	79.3	 Jag tror att jag gick mycket på de som hade en master.	[51164, 9014, 22109, 951, 6368, 290, 618, 16780, 4170, 368, 3307, 25027, 465, 4505, 13, 51614]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.8	en	77.92	78.4	0.854
7	5848	75.12	79.3	 Jag tror att jag gick mycket på de som hade en master.	[51164, 9014, 22109, 951, 6368, 290, 618, 16780, 4170, 368, 3307, 25027, 465, 4505, 13, 51614]	0.0	-0.2644308659068325	1.2857142857142858	0.02349958010017872	0.8	master.	78.4	79.3	0.78
8	8348	83.72	92.62	 Jag tänkte också så. Det som rörde till det var att det stod fast with distinction på några men inte på alla.	[50364, 9014, 19790, 18844, 13312, 4719, 13, 4237, 3307, 367, 2311, 1479, 4288, 1141, 1374, 951, 1141, 342, 378, 2370, 365, 16844, 4170, 40842, 1706, 2830, 4170, 11591, 13, 50814]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.668	Jag	83.72	83.86	0.469
8	8348	83.72	92.62	 Jag tänkte också så. Det som rörde till det var att det stod fast with distinction på några men inte på alla.	[50364, 9014, 19790, 18844, 13312, 4719, 13, 4237, 3307, 367, 2311, 1479, 4288, 1141, 1374, 951, 1141, 342, 378, 2370, 365, 16844, 4170, 40842, 1706, 2830, 4170, 11591, 13, 50814]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.668	tänkte	83.86	84.14	0.666
8	8348	83.72	92.62	 Jag tänkte också så. Det som rörde till det var att det stod fast with distinction på några men inte på alla.	[50364, 9014, 19790, 18844, 13312, 4719, 13, 4237, 3307, 367, 2311, 1479, 4288, 1141, 1374, 951, 1141, 342, 378, 2370, 365, 16844, 4170, 40842, 1706, 2830, 4170, 11591, 13, 50814]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.668	också	84.14	84.34	0.761
8	8348	83.72	92.62	 Jag tänkte också så. Det som rörde till det var att det stod fast with distinction på några men inte på alla.	[50364, 9014, 19790, 18844, 13312, 4719, 13, 4237, 3307, 367, 2311, 1479, 4288, 1141, 1374, 951, 1141, 342, 378, 2370, 365, 16844, 4170, 40842, 1706, 2830, 4170, 11591, 13, 50814]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.668	så.	84.34	84.64	0.664
8	8348	83.72	92.62	 Jag tänkte också så. Det som rörde till det var att det stod fast with distinction på några men inte på alla.	[50364, 9014, 19790, 18844, 13312, 4719, 13, 4237, 3307, 367, 2311, 1479, 4288, 1141, 1374, 951, 1141, 342, 378, 2370, 365, 16844, 4170, 40842, 1706, 2830, 4170, 11591, 13, 50814]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.668	Det	85.54	85.78	0.591
8	8348	83.72	92.62	 Jag tänkte också så. Det som rörde till det var att det stod fast with distinction på några men inte på alla.	[50364, 9014, 19790, 18844, 13312, 4719, 13, 4237, 3307, 367, 2311, 1479, 4288, 1141, 1374, 951, 1141, 342, 378, 2370, 365, 16844, 4170, 40842, 1706, 2830, 4170, 11591, 13, 50814]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.668	som	85.78	85.96	0.798
8	8348	83.72	92.62	 Jag tänkte också så. Det som rörde till det var att det stod fast with distinction på några men inte på alla.	[50364, 9014, 19790, 18844, 13312, 4719, 13, 4237, 3307, 367, 2311, 1479, 4288, 1141, 1374, 951, 1141, 342, 378, 2370, 365, 16844, 4170, 40842, 1706, 2830, 4170, 11591, 13, 50814]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.668	rörde	85.96	86.32	0.956
8	8348	83.72	92.62	 Jag tänkte också så. Det som rörde till det var att det stod fast with distinction på några men inte på alla.	[50364, 9014, 19790, 18844, 13312, 4719, 13, 4237, 3307, 367, 2311, 1479, 4288, 1141, 1374, 951, 1141, 342, 378, 2370, 365, 16844, 4170, 40842, 1706, 2830, 4170, 11591, 13, 50814]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.668	till	86.32	86.52	0.816
8	8348	83.72	92.62	 Jag tänkte också så. Det som rörde till det var att det stod fast with distinction på några men inte på alla.	[50364, 9014, 19790, 18844, 13312, 4719, 13, 4237, 3307, 367, 2311, 1479, 4288, 1141, 1374, 951, 1141, 342, 378, 2370, 365, 16844, 4170, 40842, 1706, 2830, 4170, 11591, 13, 50814]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.668	det	86.52	86.62	0.285
8	8348	83.72	92.62	 Jag tänkte också så. Det som rörde till det var att det stod fast with distinction på några men inte på alla.	[50364, 9014, 19790, 18844, 13312, 4719, 13, 4237, 3307, 367, 2311, 1479, 4288, 1141, 1374, 951, 1141, 342, 378, 2370, 365, 16844, 4170, 40842, 1706, 2830, 4170, 11591, 13, 50814]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.668	var	86.62	86.96	0.431
8	8348	83.72	92.62	 Jag tänkte också så. Det som rörde till det var att det stod fast with distinction på några men inte på alla.	[50364, 9014, 19790, 18844, 13312, 4719, 13, 4237, 3307, 367, 2311, 1479, 4288, 1141, 1374, 951, 1141, 342, 378, 2370, 365, 16844, 4170, 40842, 1706, 2830, 4170, 11591, 13, 50814]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.668	att	86.96	87.16	0.669
8	8348	83.72	92.62	 Jag tänkte också så. Det som rörde till det var att det stod fast with distinction på några men inte på alla.	[50364, 9014, 19790, 18844, 13312, 4719, 13, 4237, 3307, 367, 2311, 1479, 4288, 1141, 1374, 951, 1141, 342, 378, 2370, 365, 16844, 4170, 40842, 1706, 2830, 4170, 11591, 13, 50814]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.668	det	87.16	87.3	0.871
8	8348	83.72	92.62	 Jag tänkte också så. Det som rörde till det var att det stod fast with distinction på några men inte på alla.	[50364, 9014, 19790, 18844, 13312, 4719, 13, 4237, 3307, 367, 2311, 1479, 4288, 1141, 1374, 951, 1141, 342, 378, 2370, 365, 16844, 4170, 40842, 1706, 2830, 4170, 11591, 13, 50814]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.668	stod	87.3	87.68	0.906
8	8348	83.72	92.62	 Jag tänkte också så. Det som rörde till det var att det stod fast with distinction på några men inte på alla.	[50364, 9014, 19790, 18844, 13312, 4719, 13, 4237, 3307, 367, 2311, 1479, 4288, 1141, 1374, 951, 1141, 342, 378, 2370, 365, 16844, 4170, 40842, 1706, 2830, 4170, 11591, 13, 50814]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.668	fast	87.68	88.56	0.253
8	8348	83.72	92.62	 Jag tänkte också så. Det som rörde till det var att det stod fast with distinction på några men inte på alla.	[50364, 9014, 19790, 18844, 13312, 4719, 13, 4237, 3307, 367, 2311, 1479, 4288, 1141, 1374, 951, 1141, 342, 378, 2370, 365, 16844, 4170, 40842, 1706, 2830, 4170, 11591, 13, 50814]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.668	with	88.56	88.78	0.357
8	8348	83.72	92.62	 Jag tänkte också så. Det som rörde till det var att det stod fast with distinction på några men inte på alla.	[50364, 9014, 19790, 18844, 13312, 4719, 13, 4237, 3307, 367, 2311, 1479, 4288, 1141, 1374, 951, 1141, 342, 378, 2370, 365, 16844, 4170, 40842, 1706, 2830, 4170, 11591, 13, 50814]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.668	distinction	88.78	89.38	0.816
8	8348	83.72	92.62	 Jag tänkte också så. Det som rörde till det var att det stod fast with distinction på några men inte på alla.	[50364, 9014, 19790, 18844, 13312, 4719, 13, 4237, 3307, 367, 2311, 1479, 4288, 1141, 1374, 951, 1141, 342, 378, 2370, 365, 16844, 4170, 40842, 1706, 2830, 4170, 11591, 13, 50814]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.668	på	89.38	89.8	0.79
8	8348	83.72	92.62	 Jag tänkte också så. Det som rörde till det var att det stod fast with distinction på några men inte på alla.	[50364, 9014, 19790, 18844, 13312, 4719, 13, 4237, 3307, 367, 2311, 1479, 4288, 1141, 1374, 951, 1141, 342, 378, 2370, 365, 16844, 4170, 40842, 1706, 2830, 4170, 11591, 13, 50814]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.668	några	89.8	91.82	0.711
8	8348	83.72	92.62	 Jag tänkte också så. Det som rörde till det var att det stod fast with distinction på några men inte på alla.	[50364, 9014, 19790, 18844, 13312, 4719, 13, 4237, 3307, 367, 2311, 1479, 4288, 1141, 1374, 951, 1141, 342, 378, 2370, 365, 16844, 4170, 40842, 1706, 2830, 4170, 11591, 13, 50814]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.668	men	91.82	91.98	0.588
8	8348	83.72	92.62	 Jag tänkte också så. Det som rörde till det var att det stod fast with distinction på några men inte på alla.	[50364, 9014, 19790, 18844, 13312, 4719, 13, 4237, 3307, 367, 2311, 1479, 4288, 1141, 1374, 951, 1141, 342, 378, 2370, 365, 16844, 4170, 40842, 1706, 2830, 4170, 11591, 13, 50814]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.668	inte	91.98	92.16	0.736
8	8348	83.72	92.62	 Jag tänkte också så. Det som rörde till det var att det stod fast with distinction på några men inte på alla.	[50364, 9014, 19790, 18844, 13312, 4719, 13, 4237, 3307, 367, 2311, 1479, 4288, 1141, 1374, 951, 1141, 342, 378, 2370, 365, 16844, 4170, 40842, 1706, 2830, 4170, 11591, 13, 50814]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.668	på	92.16	92.3	0.848
8	8348	83.72	92.62	 Jag tänkte också så. Det som rörde till det var att det stod fast with distinction på några men inte på alla.	[50364, 9014, 19790, 18844, 13312, 4719, 13, 4237, 3307, 367, 2311, 1479, 4288, 1141, 1374, 951, 1141, 342, 378, 2370, 365, 16844, 4170, 40842, 1706, 2830, 4170, 11591, 13, 50814]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.668	alla.	92.3	92.62	0.888
9	8348	92.84	95.04	 Så där hade man inte det att gå på.	[50814, 12728, 12976, 276, 762, 587, 2830, 1141, 951, 22098, 4170, 13, 50964]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.667	Så	92.84	93.02	0.531
9	8348	92.84	95.04	 Så där hade man inte det att gå på.	[50814, 12728, 12976, 276, 762, 587, 2830, 1141, 951, 22098, 4170, 13, 50964]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.667	där	93.02	93.16	0.737
9	8348	92.84	95.04	 Så där hade man inte det att gå på.	[50814, 12728, 12976, 276, 762, 587, 2830, 1141, 951, 22098, 4170, 13, 50964]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.667	hade	93.16	93.38	0.482
9	8348	92.84	95.04	 Så där hade man inte det att gå på.	[50814, 12728, 12976, 276, 762, 587, 2830, 1141, 951, 22098, 4170, 13, 50964]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.667	man	93.38	93.56	0.828
9	8348	92.84	95.04	 Så där hade man inte det att gå på.	[50814, 12728, 12976, 276, 762, 587, 2830, 1141, 951, 22098, 4170, 13, 50964]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.667	inte	93.56	94.02	0.595
9	8348	92.84	95.04	 Så där hade man inte det att gå på.	[50814, 12728, 12976, 276, 762, 587, 2830, 1141, 951, 22098, 4170, 13, 50964]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.667	det	94.02	94.18	0.599
9	8348	92.84	95.04	 Så där hade man inte det att gå på.	[50814, 12728, 12976, 276, 762, 587, 2830, 1141, 951, 22098, 4170, 13, 50964]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.667	att	94.18	94.34	0.762
9	8348	92.84	95.04	 Så där hade man inte det att gå på.	[50814, 12728, 12976, 276, 762, 587, 2830, 1141, 951, 22098, 4170, 13, 50964]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.667	gå	94.34	94.8	0.918
9	8348	92.84	95.04	 Så där hade man inte det att gå på.	[50814, 12728, 12976, 276, 762, 587, 2830, 1141, 951, 22098, 4170, 13, 50964]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.667	på.	94.8	95.04	0.933
10	8348	95.5	103.72	 Jag kanske störde mig lite på i början att det var en ekonomikonsult som vi sökte.	[50964, 9014, 24487, 342, 973, 7800, 68, 6186, 15100, 4170, 741, 21175, 14763, 951, 1141, 1374, 465, 13359, 12481, 1035, 892, 723, 3307, 1932, 12643, 18844, 13, 51364]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.786	Jag	95.5	97.42	0.694
10	8348	95.5	103.72	 Jag kanske störde mig lite på i början att det var en ekonomikonsult som vi sökte.	[50964, 9014, 24487, 342, 973, 7800, 68, 6186, 15100, 4170, 741, 21175, 14763, 951, 1141, 1374, 465, 13359, 12481, 1035, 892, 723, 3307, 1932, 12643, 18844, 13, 51364]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.786	kanske	97.42	98.36	0.54
10	8348	95.5	103.72	 Jag kanske störde mig lite på i början att det var en ekonomikonsult som vi sökte.	[50964, 9014, 24487, 342, 973, 7800, 68, 6186, 15100, 4170, 741, 21175, 14763, 951, 1141, 1374, 465, 13359, 12481, 1035, 892, 723, 3307, 1932, 12643, 18844, 13, 51364]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.786	störde	98.36	98.98	0.572
10	8348	95.5	103.72	 Jag kanske störde mig lite på i början att det var en ekonomikonsult som vi sökte.	[50964, 9014, 24487, 342, 973, 7800, 68, 6186, 15100, 4170, 741, 21175, 14763, 951, 1141, 1374, 465, 13359, 12481, 1035, 892, 723, 3307, 1932, 12643, 18844, 13, 51364]	0.0	-0.33529067366090537	1.4378698224852071	0.107420913875103	0.786	mig	98.98	99.02	0.927
